mess_id,origin,destination,departure_slot,connection_ready_slot,safe_energy_kwh,status
MESS01,STA01,IDC03,52,57,62.12947774535875,FEASIBLE
MESS01,STA01,IDC03,53,58,61.81687885236497,FEASIBLE
MESS01,STA01,IDC03,54,59,62.34849615213236,FEASIBLE
MESS01,STA01,IDC03,55,60,64.58791158386241,FEASIBLE
MESS01,STA01,IDC03,56,61,61.76598628200384,FEASIBLE
MESS01,STA01,IDC03,57,62,61.93734112497542,FEASIBLE
MESS01,STA01,IDC03,58,63,64.42681607309495,FEASIBLE
MESS01,STA01,IDC03,59,64,63.89412373894073,FEASIBLE
MESS01,STA01,IDC03,60,65,62.46298704833217,FEASIBLE
MESS01,STA01,IDC03,61,66,62.74297421574903,FEASIBLE
MESS01,STA01,IDC03,62,67,61.573355471153725,FEASIBLE
MESS01,STA01,IDC03,63,68,61.908512092461876,FEASIBLE
MESS01,STA01,IDC03,64,69,64.37862468758695,FEASIBLE
MESS01,STA01,IDC03,65,70,64.01593859290175,FEASIBLE
MESS01,STA01,IDC03,66,71,61.43454239816145,FEASIBLE
MESS01,STA01,IDC03,67,72,61.19340647835848,FEASIBLE
MESS01,STA01,IDC03,68,73,61.514281319670964,FEASIBLE
MESS01,STA01,IDC03,69,74,75.88352439458424,FEASIBLE
MESS01,STA01,IDC03,70,75,63.64780785576208,FEASIBLE
MESS01,STA01,IDC03,71,76,64.0061374826714,FEASIBLE
MESS01,STA01,IDC03,72,77,63.61981628441711,FEASIBLE
MESS01,STA01,IDC03,73,78,63.202882512403136,FEASIBLE
MESS01,STA01,IDC03,74,79,61.47826453156842,FEASIBLE
MESS01,STA01,IDC03,75,80,63.32578058380767,FEASIBLE
MESS01,STA01,IDC03,76,81,63.57547524895703,FEASIBLE
MESS01,STA01,IDC03,77,82,61.18765896544892,FEASIBLE
MESS01,STA01,IDC03,78,83,61.37108246811245,FEASIBLE
MESS01,STA01,IDC03,79,84,60.9467595657142,FEASIBLE
MESS01,STA01,IDC03,80,85,63.29694604883241,FEASIBLE
MESS01,STA01,IDC03,81,86,63.59975156105558,FEASIBLE
MESS01,STA01,IDC03,82,86,65.77234546606847,FEASIBLE
MESS01,STA01,IDC03,83,87,66.2594899134761,FEASIBLE
MESS01,STA01,IDC03,84,88,65.97635016665306,FEASIBLE
