split,model,policy,cadence,variant,seed,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage
MAY_HISTORICAL,LGBM,rolling180,1,raw,20260924,744,351588.466388889,0.543010752688172,0.8682795698924731,0.0317204301075269,306.4804469731158,224.67016185316095,449.3403237063219,2582.2584266631925,1.3374594245790976,0.9522599344265533,470235.3079451309,0.8466353677621283,0.10144927536231885
MAY_HISTORICAL,LGBM,rolling90,1,causal_calibrated,20260924,744,351588.466388889,0.5725806451612904,0.9112903225806451,0.011290322580645107,302.01068708157607,226.65245313554828,453.30490627109657,2587.4501939228526,2.26256482210576,1.7753962869388116,795491.6959096136,0.8967136150234741,0.3188405797101449
MAY_HISTORICAL,LGBM,rolling90,1,raw,20260924,744,351588.466388889,0.5725806451612904,0.8709677419354839,0.029032258064516148,306.297374645802,226.65245313554828,453.30490627109657,2587.4501939228526,1.4281709413776376,1.0335128982947932,502128.4310201395,0.8497652582159625,0.07246376811594203
MAY_HISTORICAL,LGBM,weighted,1,causal_calibrated,20260924,744,351588.466388889,0.5725806451612904,0.9126344086021505,0.012634408602150482,301.92610857594434,224.26810978267346,448.5362195653469,2588.110706774682,2.161392087702922,1.684161848523339,759920.5293805494,0.8982785602503912,0.2753623188405797
MAY_HISTORICAL,LGBM,weighted,1,raw,20260924,744,351588.466388889,0.5725806451612904,0.8763440860215054,0.023655913978494647,307.77869197265886,224.26810978267346,448.5362195653469,2588.110706774682,1.4079281955372558,1.0184290579963446,495011.3150546196,0.8560250391236307,0.07246376811594203
MAY_HISTORICAL,TFT,weighted,1,causal_calibrated,20260924,744,351588.466388889,0.4583333333333333,0.9314516129032258,0.031451612903225734,306.2342147530999,230.35889718827957,460.71779437655914,2608.287631993436,2.5160332895445636,2.0124553583410574,884608.2856543646,0.92018779342723,0.4057971014492754
MAY_HISTORICAL,TFT,weighted,1,causal_calibrated,20260925,744,351588.466388889,0.4543010752688172,0.9301075268817204,0.03010752688172036,305.83759312126784,230.2432396252039,460.4864792504078,2607.8207769089972,2.6236474253651187,2.10846878543113,922444.1746292792,0.918622848200313,0.4057971014492754
MAY_HISTORICAL,TFT,weighted,1,causal_calibrated,20260926,744,351588.466388889,0.45698924731182794,0.9395161290322581,0.039516129032258096,308.39409357499807,230.41191370527667,460.82382741055335,2607.6077651663445,2.726240062054061,2.2062119955744226,958514.562425537,0.9295774647887324,0.391304347826087
MAY_HISTORICAL,TFT,weighted,1,raw,20260924,744,351588.466388889,0.4583333333333333,0.9153225806451613,0.015322580645161232,303.84535276716974,230.35889718827957,460.71779437655914,2608.287631993436,2.136628651256733,1.6659360882590315,751213.990737915,0.9014084507042254,0.30434782608695654
MAY_HISTORICAL,TFT,weighted,1,raw,20260925,744,351588.466388889,0.4543010752688172,0.918010752688172,0.018010752688171983,304.4141948512727,230.2432396252039,460.4864792504078,2607.8207769089972,2.233006647149035,1.7538800171956548,785099.3825073242,0.9045383411580594,0.3333333333333333
MAY_HISTORICAL,TFT,weighted,1,raw,20260926,744,351588.466388889,0.45698924731182794,0.9247311827956989,0.02473118279569886,305.2790343877869,230.41191370527667,460.82382741055335,2607.6077651663445,2.31154711950432,1.826396538227758,812713.3067321777,0.9123630672926447,0.34782608695652173
