case,mess_id,candidate_id,origin,destination,departure_slot,connection_ready_slot,travel_slots,q50_eta_seconds,safe_eta_seconds,safe_energy_kwh,route_link_ids,is_stay,objective,rho,binding_asset,binding_slot,Vmin_pu,Vmax_pu,post_arrival_sum_abs_p_kw_slots,post_arrival_sum_abs_q_kvar_slots,terminal_energy_kwh,exact_optimality_certificate,runtime_seconds
B2,MESS03,MESS03:MOVE:STA08:STA02:78,STA08,STA02,78,82.0,3,2277.096466064453,2447.124194335938,30.396710235051863,RL_47_20_01>RL_20_16_01>RL_16_37_01>RL_37_14_01,False,0.493289722975481,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,2.094870194517532e-08,760.0,True,4.418416100088507
B2,MESS03,MESS03:MOVE:STA08:STA02:79,STA08,STA02,79,83.0,3,2282.1390838623047,2452.1668121337893,31.711732549590327,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_02,False,0.4932897361257594,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,2.094870194517532e-08,760.0,True,4.275475600035861
B2,MESS03,MESS03:MOVE:STA08:STA02:80,STA08,STA02,80,84.0,3,2219.273666381836,2389.3013946533206,31.88782846513367,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_02,False,0.4932897378867601,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,1.942889187471556e-08,760.0,True,4.489009600132704
B2,MESS03,MESS03:MOVE:STA08:STA02:81,STA08,STA02,81,85.0,3,2263.9821166992188,2434.0098449707034,30.427258920514333,RL_47_20_01>RL_20_16_01>RL_16_37_01>RL_37_14_01,False,0.4932897232811198,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,1.8042215569183426e-08,760.0,True,4.581007499946281
B2,MESS03,MESS03:MOVE:STA08:STA02:82,STA08,STA02,82,86.0,3,2066.414093017578,2236.441821289063,35.97097801399755,RL_47_20_01>RL_20_04_01>RL_04_14_01,False,0.4932897787183937,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.504671400180087
B2,MESS03,MESS03:MOVE:STA08:STA02:83,STA08,STA02,83,87.0,3,2085.614158630371,2255.641886901856,35.85429971915336,RL_47_20_01>RL_20_04_01>RL_04_14_01,False,0.493289777551666,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,1.8882480238665152e-08,760.0,True,4.515645599924028
B2,MESS03,MESS03:MOVE:STA08:STA02:84,STA08,STA02,84,88.0,3,2087.2339630126958,2257.26169128418,35.84463566673511,RL_47_20_01>RL_20_04_01>RL_04_14_01,False,0.4932897774550807,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,1.8882480238665152e-08,760.0,True,4.393389999866486
B2,MESS03,MESS03:MOVE:STA08:STA02:85,STA08,STA02,85,89.0,3,2116.686462402344,2286.7141906738284,32.49304537063931,RL_47_25_01>RL_25_37_01>RL_37_14_01,False,0.4932897439392329,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,1.7125711730708474e-08,760.0,True,4.484363000141457
B2,MESS03,MESS03:MOVE:STA08:STA02:86,STA08,STA02,86,90.0,3,2071.387908935547,2241.4156372070315,30.98339038731262,RL_47_20_01>RL_20_16_01>RL_16_37_01>RL_37_14_01,False,0.4932897288426463,0.4932894189041936,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,1.1341803709485234e-08,760.0,True,4.207916000159457
B2,MESS03,MESS03:MOVE:STA08:STA02:87,STA08,STA02,87,91.0,3,2067.4225845336914,2237.450312805176,35.96475034006556,RL_47_20_01>RL_20_04_01>RL_04_14_01,False,0.4932897786563011,0.4932894189041936,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,9.657308374780635e-09,760.0,True,4.506812900071964
