role,family,detector,threshold,tail_quantile,hard_feasible,normalized_deficit,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.0025,0.5,False,1.327658427187854,1392,0.8714080459770115,0.8097768331562167,0.3253012048192771,172.09920448510528,3.550403685724551,329015.0525,1168136.2550548567,83,0.6024096385542169,0.08264462809917356,0.4239877769289534,0.14858796848064423,0.43462643678160917,605
CALIBRATION,C2,D1_BASE71_BALANCED,0.0025,0.5,False,0.8691513415010861,624,0.9535256410256411,0.9421157684630739,0.6052631578947368,316.2803100294447,3.5296854651230394,248575.1924999999,877392.2439574111,38,0.8947368421052632,0.07906976744186046,0.6757679180887372,0.09623882324917754,0.6891025641025641,430
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.0025,0.75,False,2.2450009498864256,1392,0.8800287356321839,0.822529224229543,0.46987951807228917,203.7285696206062,5.51206320518646,329015.0525,1813551.7648377414,83,0.6024096385542169,0.08264462809917356,0.4239877769289534,0.14858796848064423,0.43462643678160917,605
CALIBRATION,C2,D1_BASE71_BALANCED,0.0025,0.75,False,2.1064918495031177,624,0.9567307692307693,0.9461077844311377,0.6578947368421053,375.8601354611089,5.588314567322048,248575.1924999999,1389116.3693226315,38,0.8947368421052632,0.07906976744186046,0.6757679180887372,0.09623882324917754,0.6891025641025641,430
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.0025,0.9,False,3.9881244845001467,1392,0.8829022988505747,0.8267800212539851,0.5180722891566265,265.98728329153784,8.41120812875206,329015.0525,2767414.0840697857,83,0.6024096385542169,0.08264462809917356,0.4239877769289534,0.14858796848064423,0.43462643678160917,605
CALIBRATION,C2,D1_BASE71_BALANCED,0.0025,0.9,False,3.6519058765560946,624,0.9599358974358975,0.9500998003992016,0.7105263157894737,454.4490480608367,8.130348339906025,248575.1924999999,2021002.9036841947,38,0.8947368421052632,0.07906976744186046,0.6757679180887372,0.09623882324917754,0.6891025641025641,430
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.005,0.5,False,1.1365082209948936,1392,0.8556034482758621,0.7863974495217854,0.2891566265060241,163.9420008474654,2.693644506539039,329015.0525,886249.5887352785,83,0.4819277108433735,0.09900990099009901,0.27807486631016043,0.14858796848064423,0.29022988505747127,404
CALIBRATION,C2,D1_BASE71_BALANCED,0.005,0.5,False,0.7222993693766083,624,0.9278846153846154,0.9101796407185628,0.5263157894736842,307.08326335508013,3.054591387795151,248575.1924999999,759295.6422300214,38,0.7894736842105263,0.08547008547008547,0.5477815699658704,0.09623882324917754,0.5625,351
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.005,0.75,False,1.764869854034918,1392,0.8613505747126436,0.7948990435706695,0.3855421686746988,185.84140801064243,4.029793462120422,329015.0525,1325862.7075037074,83,0.4819277108433735,0.09900990099009901,0.27807486631016043,0.14858796848064423,0.29022988505747127,404
CALIBRATION,C2,D1_BASE71_BALANCED,0.005,0.75,False,1.5984109607397836,624,0.9310897435897436,0.9141716566866267,0.5789473684210527,350.335317677484,4.6802197211867425,248575.1924999999,1163386.5181362904,38,0.7894736842105263,0.08547008547008547,0.5477815699658704,0.09623882324917754,0.5625,351
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.005,0.9,False,2.8854901615073927,1392,0.8642241379310345,0.7991498405951116,0.43373493975903615,226.34234420876675,5.948744368764626,329015.0525,1957226.4407981727,83,0.4819277108433735,0.09900990099009901,0.27807486631016043,0.14858796848064423,0.29022988505747127,404
CALIBRATION,C2,D1_BASE71_BALANCED,0.005,0.9,False,2.8014953651570185,624,0.9326923076923077,0.9161676646706587,0.6052631578947368,410.6706072861404,6.735236572476614,248575.1924999999,1674212.7275364138,38,0.7894736842105263,0.08547008547008547,0.5477815699658704,0.09623882324917754,0.5625,351
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.01,0.5,False,1.2370048756936767,1392,0.8376436781609196,0.7598299681190224,0.1927710843373494,158.3623135867527,2.069073886153586,329015.0525,680756.4532792012,83,0.3493975903614458,0.11740890688259109,0.16653934300993126,0.14858796848064423,0.17744252873563218,247
CALIBRATION,C2,D1_BASE71_BALANCED,0.01,0.5,False,0.5921645547399594,624,0.9118589743589743,0.8902195608782435,0.42105263157894735,297.13825200689007,2.5128915800992697,248575.1924999999,624642.5082548049,38,0.6052631578947368,0.08778625954198473,0.40784982935153585,0.09623882324917754,0.4198717948717949,262
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.01,0.75,False,1.560920017000928,1392,0.8426724137931034,0.767268862911796,0.27710843373493976,170.94916354648427,2.9349212465367995,329015.0525,965633.2680126706,83,0.3493975903614458,0.11740890688259109,0.16653934300993126,0.14858796848064423,0.17744252873563218,247
CALIBRATION,C2,D1_BASE71_BALANCED,0.01,0.75,False,1.250061146519042,624,0.9134615384615384,0.8922155688622755,0.4473684210526316,327.326601306639,3.705595782258427,248575.1924999999,921119.1849020761,38,0.6052631578947368,0.08778625954198473,0.40784982935153585,0.09623882324917754,0.4198717948717949,262
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.01,0.9,False,2.20055391470757,1392,0.8448275862068966,0.7704569606801275,0.3132530120481928,193.99742509855096,4.061653544406702,329015.0525,1336345.154149782,83,0.3493975903614458,0.11740890688259109,0.16653934300993126,0.14858796848064423,0.17744252873563218,247
CALIBRATION,C2,D1_BASE71_BALANCED,0.01,0.9,False,2.114561302984204,624,0.9150641025641025,0.8942115768463074,0.47368421052631576,369.1821076918558,5.230034182325038,248575.1924999999,1300056.7536530257,38,0.6052631578947368,0.08778625954198473,0.40784982935153585,0.09623882324917754,0.4198717948717949,262
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.02,0.5,False,1.4785149223511538,1392,0.8290229885057471,0.7470775770456961,0.14457831325301204,153.80292912476656,1.549553607627807,329015.0525,509826.46156522725,83,0.24096385542168675,0.16806722689075632,0.07563025210084033,0.14858796848064423,0.08548850574712644,119
