model,mode,horizon_hours,role,metric,difference_to_LGBM,CI95_low,CI95_high,N_paired_days,block_length_days,bootstrap_draws,seed_aggregation
F3_DEEPAR,fixed,8,MAY_HISTORICAL,burst_mean_miss_GPUh,-595.0574492235788,-1738.6398855366247,315.7808239969384,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,MAY_HISTORICAL,calibrated_coverage,0.019354838709677427,0.001819685690653437,0.038387096774193545,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,EXPOSED_EVALUATION,calibrated_Q90_pinball,11.240944047820854,5.764640078961864,16.407707257999665,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,EXPOSED_EVALUATION,raw_Q90_pinball,8.999377872024981,4.847571362133786,13.166525731517634,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,EXPOSED_EVALUATION,mean_forecast_requirement,-28.41778486327363,-151.1721119350847,94.51199276776975,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,EXPOSED_EVALUATION,burst_mean_miss_GPUh,149.80734215162357,0.7651870556770165,265.86251626678813,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,EXPOSED_EVALUATION,calibrated_coverage,-0.026515151515151523,-0.041180962854349974,-0.011116202346041064,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,MAY_HISTORICAL,calibrated_Q90_pinball,15.949947388611594,5.02014009908277,27.25090328730551,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,MAY_HISTORICAL,raw_Q90_pinball,11.066537165316927,0.8258227111234894,23.42181773670275,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,MAY_HISTORICAL,mean_forecast_requirement,-60.24560039179489,-229.01874547268747,115.71809759438263,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,MAY_HISTORICAL,burst_mean_miss_GPUh,221.58122827553584,25.625775212562818,467.6344822774696,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,1,MAY_HISTORICAL,calibrated_coverage,-0.018036767256330195,-0.04024453694068676,0.0003555324314949764,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,EXPOSED_EVALUATION,calibrated_Q90_pinball,5.356271584233503,-12.486953178585248,21.936316932851067,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,EXPOSED_EVALUATION,raw_Q90_pinball,20.79757478290005,8.56010479598809,33.00317240567196,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,EXPOSED_EVALUATION,mean_forecast_requirement,-290.08594319767366,-616.7435251298989,68.1600281997797,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,EXPOSED_EVALUATION,burst_mean_miss_GPUh,307.34465608043223,-106.73528960173012,639.1960386442904,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,EXPOSED_EVALUATION,calibrated_coverage,-0.025408580183861103,-0.04239019407558736,-0.006384065372829437,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,MAY_HISTORICAL,calibrated_Q90_pinball,22.039437279638502,-3.7060479417982832,49.3235920420911,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,MAY_HISTORICAL,raw_Q90_pinball,26.584810908877152,1.1718056001441868,56.81056605194614,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,MAY_HISTORICAL,mean_forecast_requirement,-72.69258775849912,-425.88838840372637,251.46567910140112,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,MAY_HISTORICAL,burst_mean_miss_GPUh,240.55102380180168,-32.297291275780495,553.6991366971664,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,2,MAY_HISTORICAL,calibrated_coverage,-0.01087350489307724,-0.03590068865530997,0.016319318593693323,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,EXPOSED_EVALUATION,calibrated_Q90_pinball,31.216129933469862,-9.500871530365798,70.96120380511735,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,EXPOSED_EVALUATION,raw_Q90_pinball,-14.943224655178595,-41.84435682617844,7.420198551280788,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,EXPOSED_EVALUATION,mean_forecast_requirement,-365.0345500165284,-878.8892908227767,155.79818097188135,88,7,1000,mean per-seed daily metric before resampling
