track,u_hours,body,classifier,role,N,tail_N,prevalence,ROC_AUC,PR_AUC,Brier,ECE,eta,selectivity_limit,recall,precision,specificity,FNR,FPR,GPU_recall,GPU_FNR,mass_capture,flagged_fraction
PW,24,B2,C3,DEVELOPMENT,4346,117,0.026921306948918547,0.7659405044129566,0.07626997560263643,0.025836796485334424,0.010415031362515245,,0.6,,,,,,,,,
PW,24,B3,C0,DEVELOPMENT,4346,117,0.026921306948918547,0.5,0.026921306948918547,0.026424424294500565,0.015095499773770532,,0.6,,,,,,,,,
PW,24,B3,C1,DEVELOPMENT,4346,117,0.026921306948918547,0.4607361058058623,0.11967671444046646,0.02577274949292092,0.02408577700779083,,0.6,,,,,,,,,
PW,24,B3,C2,DEVELOPMENT,4346,117,0.026921306948918547,0.5606101945662125,0.1121203240665785,0.02595493873516747,0.023832771096544084,,0.6,,,,,,,,,
PW,24,B3,C3,DEVELOPMENT,4346,117,0.026921306948918547,0.7659405044129566,0.07626997560263643,0.025836796485334424,0.010415031362515245,,0.6,,,,,,,,,
PW,24,B0,C0,CALIBRATION,2634,43,0.016324981017463932,0.5,0.016324981017463932,0.016718545920311047,0.025691825705225154,,0.6,,,,,,,,,
PW,24,B0,C1,CALIBRATION,2634,43,0.016324981017463932,0.1952106127651172,0.010313136030778068,0.03186830449119249,0.040103356169902335,,0.6,,,,,,,,,
PW,24,B0,C2,CALIBRATION,2634,43,0.016324981017463932,0.4779334548032994,0.016109067614874698,0.026589244876009624,0.05764214641199025,,0.6,,,,,,,,,
PW,24,B0,C3,CALIBRATION,2634,43,0.016324981017463932,0.5443844075646468,0.017904791331957014,0.016651748513398398,0.02138079060757803,,0.6,,,,,,,,,
PW,24,B1,C0,CALIBRATION,2634,43,0.016324981017463932,0.5,0.016324981017463932,0.016718545920311047,0.025691825705225154,,0.6,,,,,,,,,
PW,24,B1,C1,CALIBRATION,2634,43,0.016324981017463932,0.1952106127651172,0.010313136030778068,0.03186830449119249,0.040103356169902335,,0.6,,,,,,,,,
PW,24,B1,C2,CALIBRATION,2634,43,0.016324981017463932,0.4779334548032994,0.016109067614874698,0.026589244876009624,0.05764214641199025,,0.6,,,,,,,,,
PW,24,B1,C3,CALIBRATION,2634,43,0.016324981017463932,0.5443844075646468,0.017904791331957014,0.016651748513398398,0.02138079060757803,,0.6,,,,,,,,,
PW,24,B2,C0,CALIBRATION,2634,43,0.016324981017463932,0.5,0.016324981017463932,0.016718545920311047,0.025691825705225154,,0.6,,,,,,,,,
PW,24,B2,C1,CALIBRATION,2634,43,0.016324981017463932,0.1952106127651172,0.010313136030778068,0.03186830449119249,0.040103356169902335,,0.6,,,,,,,,,
PW,24,B2,C2,CALIBRATION,2634,43,0.016324981017463932,0.4779334548032994,0.016109067614874698,0.026589244876009624,0.05764214641199025,,0.6,,,,,,,,,
PW,24,B2,C3,CALIBRATION,2634,43,0.016324981017463932,0.5443844075646468,0.017904791331957014,0.016651748513398398,0.02138079060757803,,0.6,,,,,,,,,
