date,window_index,window_start,window_end,Y_k_GPUh,C_phys_k_GPUh,C_hist_k_GPUh,uncapped_prediction_GPUh,actionable_prediction_GPUh,physical_oracle_covered,historical_oracle_covered,uncapped_covered,actionable_covered,physical_prediction_cap_binding,historical_prediction_cap_binding
2025-05-02,17,2025-05-02T04:15:00+10:00,2025-05-02T08:15:00+10:00,3693.736388888889,3120.0,11062.732222222225,1736.968355714444,1736.968355714444,False,True,False,False,False,False
2025-05-02,18,2025-05-02T04:30:00+10:00,2025-05-02T08:30:00+10:00,3688.5863888888885,3120.0,11062.732222222225,1752.1505951247952,1752.1505951247952,False,True,False,False,False,False
2025-05-02,19,2025-05-02T04:45:00+10:00,2025-05-02T08:45:00+10:00,3615.8297222222222,3120.0,11062.732222222225,1702.5300683190117,1702.5300683190117,False,True,False,False,False,False
2025-05-02,20,2025-05-02T05:00:00+10:00,2025-05-02T09:00:00+10:00,3559.8894444444445,3120.0,11062.732222222225,1527.1265910895788,1527.1265910895788,False,True,False,False,False,False
2025-05-02,21,2025-05-02T05:15:00+10:00,2025-05-02T09:15:00+10:00,3558.730555555556,3120.0,11062.732222222225,1592.5993808477508,1592.5993808477508,False,True,False,False,False,False
2025-05-02,22,2025-05-02T05:30:00+10:00,2025-05-02T09:30:00+10:00,3557.294722222222,3120.0,11062.732222222225,1553.4512577095722,1553.4512577095722,False,True,False,False,False,False
2025-05-02,23,2025-05-02T05:45:00+10:00,2025-05-02T09:45:00+10:00,1786.0147222222222,3120.0,11062.732222222225,1552.5493086757967,1552.5493086757967,True,True,False,False,False,False
2025-05-02,24,2025-05-02T06:00:00+10:00,2025-05-02T10:00:00+10:00,945.0350000000001,3120.0,11062.732222222225,1748.1060998361845,1748.1060998361845,True,True,True,True,False,False
2025-05-02,25,2025-05-02T06:15:00+10:00,2025-05-02T10:15:00+10:00,932.1805555555555,3120.0,11062.732222222225,1733.7840439087818,1733.7840439087818,True,True,True,True,False,False
2025-05-02,26,2025-05-02T06:30:00+10:00,2025-05-02T10:30:00+10:00,463.3791666666666,3120.0,11062.732222222225,1762.33642431017,1762.33642431017,True,True,True,True,False,False
2025-05-02,27,2025-05-02T06:45:00+10:00,2025-05-02T10:45:00+10:00,401.7302777777777,3120.0,11062.732222222225,2305.9328986349337,2305.9328986349337,True,True,True,True,False,False
2025-05-02,28,2025-05-02T07:00:00+10:00,2025-05-02T11:00:00+10:00,127.25333333333333,3120.0,11062.732222222225,2334.4442860609256,2334.4442860609256,True,True,True,True,False,False
2025-05-02,29,2025-05-02T07:15:00+10:00,2025-05-02T11:15:00+10:00,124.16722222222222,3120.0,11062.732222222225,1704.6326931903332,1704.6326931903332,True,True,True,True,False,False
2025-05-02,30,2025-05-02T07:30:00+10:00,2025-05-02T11:30:00+10:00,128.71666666666667,3120.0,11062.732222222225,1753.7660819161567,1753.7660819161567,True,True,True,True,False,False
2025-05-02,31,2025-05-02T07:45:00+10:00,2025-05-02T11:45:00+10:00,119.40666666666665,3120.0,11062.732222222225,2297.465164862377,2297.465164862377,True,True,True,True,False,False
2025-05-02,32,2025-05-02T08:00:00+10:00,2025-05-02T12:00:00+10:00,120.61972222222222,3120.0,11062.732222222225,1700.874703367017,1700.874703367017,True,True,True,True,False,False
2025-05-02,33,2025-05-02T08:15:00+10:00,2025-05-02T12:15:00+10:00,113.31305555555555,3120.0,11062.732222222225,1601.506839954437,1601.506839954437,True,True,True,True,False,False
2025-05-02,34,2025-05-02T08:30:00+10:00,2025-05-02T12:30:00+10:00,69.4575,3120.0,11062.732222222225,2178.540703890834,2178.540703890834,True,True,True,True,False,False
2025-05-02,35,2025-05-02T08:45:00+10:00,2025-05-02T12:45:00+10:00,69.93166666666666,3120.0,11062.732222222225,1570.1985692382127,1570.1985692382127,True,True,True,True,False,False
2025-05-02,36,2025-05-02T09:00:00+10:00,2025-05-02T13:00:00+10:00,67.78166666666667,3120.0,11062.732222222225,1533.2998187939816,1533.2998187939816,True,True,True,True,False,False
2025-05-02,37,2025-05-02T09:15:00+10:00,2025-05-02T13:15:00+10:00,67.5038888888889,3120.0,11062.732222222225,1471.4970892561025,1471.4970892561025,True,True,True,True,False,False
2025-05-02,38,2025-05-02T09:30:00+10:00,2025-05-02T13:30:00+10:00,70.78694444444444,3120.0,11062.732222222225,1530.0311178891686,1530.0311178891686,True,True,True,True,False,False
2025-05-02,39,2025-05-02T09:45:00+10:00,2025-05-02T13:45:00+10:00,72.42416666666666,3120.0,11062.732222222225,1516.3799635208138,1516.3799635208138,True,True,True,True,False,False
2025-05-02,40,2025-05-02T10:00:00+10:00,2025-05-02T14:00:00+10:00,38.70166666666667,3120.0,11062.732222222225,1492.1633838441523,1492.1633838441523,True,True,True,True,False,False
