day,category,information_available_at_Dminus1_18AEST,forecast_issue_time,future_actual_used,namespace,status
2025-02-13,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-14,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-14,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-14,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-15,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-15,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-15,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-16,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-16,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-16,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-17,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-17,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-17,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-18,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-18,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-18,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-19,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-19,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-19,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-20,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-20,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-20,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-21,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-21,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-21,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-22,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-22,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-22,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-23,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-23,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-23,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-24,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-24,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-24,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-25,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-25,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-25,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-26,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-26,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-26,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-27,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-27,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-27,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-28,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-28,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-28,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-01,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-01,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-01,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-02,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-02,causal_grid_demand_forecast_vintage,True,2025-03-01T17:32:47+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-02,causal_rooftop_pv_forecast_vintage,True,2025-03-01T18:00:00+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-03,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-03,causal_grid_demand_forecast_vintage,True,2025-03-02T17:32:50+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-03,causal_rooftop_pv_forecast_vintage,True,2025-03-02T18:00:00+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-04,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-04,causal_grid_demand_forecast_vintage,True,2025-03-03T17:32:20+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-04,causal_rooftop_pv_forecast_vintage,True,2025-03-03T18:00:00+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-05,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-05,causal_grid_demand_forecast_vintage,True,2025-03-04T17:32:22+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-05,causal_rooftop_pv_forecast_vintage,True,2025-03-04T18:00:00+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-06,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-06,causal_grid_demand_forecast_vintage,True,2025-03-05T17:32:44+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-06,causal_rooftop_pv_forecast_vintage,True,2025-03-05T18:00:00+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-07,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-03-07,causal_grid_demand_forecast_vintage,True,2025-03-06T17:32:36+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
2025-03-07,causal_rooftop_pv_forecast_vintage,True,2025-03-06T18:00:00+10:00,False,AEMO_DA_FORECAST,CAUSAL_SOURCE_PRESENT
