role,model,reference,effect,state,metric,delta,CI95_low,CI95_high,block_days,draws,N_days,N_pairs,candidate_unmatched,reference_unmatched
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,overreserved_GPUh,-20969.264208306908,-35202.583538762585,-6735.944877851172,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,Q90_pinball,-8656.757505020578,-16991.597500423308,-2766.969956972624,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,coverage,0.09251897361763643,-0.04153300554873528,0.2204356359012632,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,GPU_coverage,0.1708880550343965,0.08678100706251403,0.25202364432715746,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,missed_GPU_slots,-48408.0,-69877.1,-27231.300000000003,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,overreserved_GPUh,127453.70986682008,107468.7064100547,149271.04164334084,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,Q90_pinball,-8656.757505020578,-12840.404651884213,-4676.83942622729,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,coverage,0.09251897361763643,-0.02869536202869536,0.23736968724939855,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,GPU_coverage,0.1708880550343965,0.09466135458167331,0.2442841798373485,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,missed_GPU_slots,-48408.0,-73600.0,-24039.0,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,overreserved_GPUh,127453.70986682008,108425.55907736556,147174.9742321207,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,Q90_pinball,2824.3429832681327,1715.138620700593,4065.4851510958297,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,coverage,0.03134830241891745,0.008000062518948083,0.05182594892521865,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,GPU_coverage,-0.007743905764301685,-0.03628989243188831,0.015986492922439498,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,missed_GPU_slots,1628.0,-6787.2,10983.05,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,overreserved_GPUh,34648.53933398178,-2452.0897752652613,72474.78654875378,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,Q90_pinball,2824.3429832681327,1258.3116758976096,4536.409731730376,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,coverage,0.03134830241891745,0.0070202808112324495,0.04955703211517165,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,GPU_coverage,-0.007743905764301685,-0.048617542002910435,0.02092224902579328,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,missed_GPU_slots,1628.0,-2509.0,5747.0,7,2000,13,9219,0,0
