role,model,stratum,value,major,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,hardware,H100,True,47009,0,0.912038120359931,0.915946906605766,10973.383005202886,38735.64077482804,0.21357367904550384,341710.0,1251648.3992965233,2464545.273611111,1844662.3634669029
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,hardware,OTHER,False,483,0,0.7743271221532091,0.7916666666666666,13403.676719485456,37568.32958971738,0.2725,4000.0,4534.450213063558,9454.868888888888,11841.181454315185
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,standby_state,regular_PENDING,True,21671,0,0.9350745235568271,0.9539659058889828,6917.668093830035,36278.25238365859,0.7098890010090817,122964.0,492660.8940805796,987175.1327777777,615377.1159037802
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,standby_state,regular_RUNNING,True,4973,0,0.5385079428916147,0.5805995475113123,56296.82187924473,77090.19151762413,0.5025180643748631,159824.0,59927.32282447815,148833.7488888889,193064.19998169792
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,standby_state,standby_PENDING,True,18748,0,0.9854384467676552,0.9565581170046459,4026.45013087012,32615.648446642008,0.024270981507823614,34115.0,674592.0933675872,1286157.4441666666,972626.625891836
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,standby_state,standby_RUNNING,True,2100,0,0.871904761904762,0.7938913499650269,8074.747631745839,27635.968321271623,0.1369653767820774,28807.0,29002.539236941866,51833.816666666666,75435.60314390395
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,1-6h,True,17074,0,1.0,1.0,3433.4057811896587,34334.057811896586,0.0,0.0,322093.4469804552,59836.89666666667,330613.1544804552
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,24-72h,True,10206,0,0.6835194983343131,0.8577460760728766,18427.37431031776,42236.97918781981,0.40567696558653604,290509.0,733910.2392939907,2143206.205,1150114.6309568724
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,6-24h,True,18333,0,0.9851088201603666,0.9807313997477932,3156.0949761568127,29299.014277928916,0.02584493041749503,6897.0,161861.02192551296,152752.7561111111,262095.11813757368
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,<=1h,True,138,0,1.0,1.0,3358.030578220755,33580.30578220754,,0.0,11076.208918160333,581.4638888888888,11288.354195938111
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,>72h,True,1741,0,0.5743825387708213,0.6109313196691838,124816.70741544019,160830.56677156698,0.6867469879518072,48304.0,27241.932391467624,117622.82083333333,102392.28715037876
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,GPU_bucket,2-4,True,18213,0,0.9806731455553725,0.9700340291533344,4673.647419867455,35748.37417578997,0.23006535947712417,32443.0,379282.8769979943,131354.49972222222,530397.7093101416
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,GPU_bucket,5-8,True,818,0,0.7224938875305623,0.7224938875305623,13065.554083599378,32571.88471731638,0.761744966442953,64224.0,36921.66191251119,214173.11555555556,67104.91782776726
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,GPU_bucket,9-32,True,1320,0,0.9333333333333333,0.9326573560359671,9096.220231939953,57406.435515866135,0.13580246913580246,71296.0,619228.1967365349,1693246.4077777779,837015.2798691305
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,GPU_bucket,<=1,True,27108,0,0.8683783384978604,0.8683783384978604,15265.537424166556,39970.84085090494,0.2067806432917995,162927.0,194916.1145532608,403549.7027777778,366538.3372214296
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,GPU_bucket,>32,False,33,0,0.7272727272727273,0.7602131438721137,20841.656005940295,61643.97412190293,0.3,14820.0,25833.999309285482,31676.416666666668,55447.30069274902
