date,model,phase,reserve_nomination_GPU_h,reserve_shortfall_GPU_h,lower_boundary_MAE_GPU_h,upper_boundary_MAE_GPU_h,normalized_boundary_score,hausdorff_boundary_proxy_GPU_h,simultaneous_inner_coverage,nonempty_set,safe_width_GPU_h,reference_width_GPU_h,capture_ratio
2025-02-03,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6231.593636481658,6160.449600320941,9898.450854643444,7813.253513184107,True,False,0.0,846.2666666666667,0.0
2025-02-04,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6217.688320791829,6255.009159859611,60.72576950999628,8606.96191333928,True,False,0.0,82785.33611111101,0.0
2025-02-05,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6184.783128004467,6282.926108192073,40.427767490291615,9330.681415954186,True,False,0.0,123426.91333333359,0.0
2025-02-06,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6180.519856735166,6295.726307145222,35.922617218454164,10149.667996506358,True,False,0.0,146762.2144444445,0.0
2025-02-07,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6214.485514896665,6168.845428195788,132.50025924936165,6941.732817973455,True,False,0.0,36938.603333333325,0.0
2025-02-08,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6219.854407645123,6170.555880376328,910.5488117949791,7672.044784148279,True,False,0.0,2817.4861111111113,0.0
2025-02-09,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6242.50929900108,6166.791543685124,917.925019030415,8215.25640625132,True,False,0.0,2599.76,0.0
2025-02-10,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6239.778604591871,6165.939407892362,1988.208435180596,8062.5969874411285,True,False,0.0,2568.5377777777767,0.0
2025-02-11,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6230.586388575801,6160.344449665372,12390.930838241173,7780.242281237249,True,False,0.0,26.93777777777778,0.0
2025-02-12,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6224.794589682767,6159.447362215773,12384.24195189854,7639.906613626264,True,False,0.0,21.997777777777777,0.0
