namespace,wetbulb_c,rh_pct,segment,it_lower_kw,it_upper_kw,pcc_slope,pcc_intercept_kw
FORECAST_DAYAHEAD_GFS,0.0,100.0,15,279.65849574700064,298.30239546346735,1.2920748650839247,-26.948679892610073
FORECAST_DAYAHEAD_GFS,0.0,100.0,16,298.30239546346735,316.94629517993405,1.292074865083949,-26.94867989261735
FORECAST_DAYAHEAD_GFS,0.0,100.0,17,316.94629517993405,335.59019489640076,1.292074865083946,-26.948679892616383
FORECAST_DAYAHEAD_GFS,0.0,100.0,18,335.59019489640076,354.23409461286747,1.292074865083946,-26.948679892616383
FORECAST_DAYAHEAD_GFS,0.0,100.0,19,354.23409461286747,372.8779943293342,1.292074865083949,-26.948679892617463
FORECAST_DAYAHEAD_GFS,0.0,100.0,20,372.8779943293342,391.5218940458009,1.292074865083946,-26.948679892616326
FORECAST_DAYAHEAD_GFS,0.0,100.0,21,391.5218940458009,410.1657937622676,1.292074865083946,-26.948679892616326
FORECAST_DAYAHEAD_GFS,0.0,100.0,22,410.1657937622676,428.8096934787343,1.292074865083949,-26.948679892617633
FORECAST_DAYAHEAD_GFS,0.0,100.0,23,428.8096934787343,447.453593195201,1.292074865083949,-26.948679892617633
FORECAST_DAYAHEAD_GFS,5.0,20.0,0,0.0,18.64389971646671,1.000000000700617,4.98228972975787
FORECAST_DAYAHEAD_GFS,5.0,20.0,1,18.64389971646671,37.28779943293342,1.000000016876364,4.982289428178859
FORECAST_DAYAHEAD_GFS,5.0,20.0,2,37.28779943293342,55.93169914940013,1.0000004065146553,4.982274899424411
FORECAST_DAYAHEAD_GFS,5.0,20.0,3,55.93169914940013,74.57559886586684,1.000009791526458,4.981749979767741
FORECAST_DAYAHEAD_GFS,5.0,20.0,4,74.57559886586684,93.21949858233354,1.0002355419510591,4.964914506658886
FORECAST_DAYAHEAD_GFS,5.0,20.0,5,93.21949858233354,111.86339829880026,1.0054984232779816,4.474311348264862
FORECAST_DAYAHEAD_GFS,5.0,20.0,6,111.86339829880026,130.50729801526697,1.0803828042629677,-3.9025099882177585
FORECAST_DAYAHEAD_GFS,5.0,20.0,7,130.50729801526697,149.15119773173367,1.2489180260608903,-25.89758640546836
FORECAST_DAYAHEAD_GFS,5.0,20.0,8,149.15119773173367,167.79509744820038,1.289758547644595,-31.988999115666616
FORECAST_DAYAHEAD_GFS,5.0,20.0,9,167.79509744820038,186.4389971646671,1.291977428744096,-32.361316485983366
FORECAST_DAYAHEAD_GFS,5.0,20.0,10,186.4389971646671,205.0828968811338,1.2920708178088782,-32.378727849567525
FORECAST_DAYAHEAD_GFS,5.0,20.0,11,205.0828968811338,223.72679659760053,1.2920746970587662,-32.37952341737224
FORECAST_DAYAHEAD_GFS,5.0,20.0,12,223.72679659760053,242.37069631406723,1.2920748581084276,-32.379559448497105
FORECAST_DAYAHEAD_GFS,5.0,20.0,13,242.37069631406723,261.01459603053394,1.2920748647943614,-32.379561068971555
FORECAST_DAYAHEAD_GFS,5.0,20.0,14,261.01459603053394,279.65849574700064,1.2920748650719243,-32.379561141419515
FORECAST_DAYAHEAD_GFS,5.0,20.0,15,279.65849574700064,298.30239546346735,1.292074865083449,-32.37956114464248
FORECAST_DAYAHEAD_GFS,5.0,20.0,16,298.30239546346735,316.94629517993405,1.2920748650839247,-32.37956114478436
FORECAST_DAYAHEAD_GFS,5.0,20.0,17,316.94629517993405,335.59019489640076,1.292074865083946,-32.379561144791126
FORECAST_DAYAHEAD_GFS,5.0,20.0,18,335.59019489640076,354.23409461286747,1.292074865083949,-32.37956114479215
FORECAST_DAYAHEAD_GFS,5.0,20.0,19,354.23409461286747,372.8779943293342,1.292074865083946,-32.37956114479107
FORECAST_DAYAHEAD_GFS,5.0,20.0,20,372.8779943293342,391.5218940458009,1.292074865083946,-32.37956114479107
FORECAST_DAYAHEAD_GFS,5.0,20.0,21,391.5218940458009,410.1657937622676,1.292074865083949,-32.37956114479226
FORECAST_DAYAHEAD_GFS,5.0,20.0,22,410.1657937622676,428.8096934787343,1.2920748650839429,-32.379561144789704
FORECAST_DAYAHEAD_GFS,5.0,20.0,23,428.8096934787343,447.453593195201,1.292074865083949,-32.37956114479243
FORECAST_DAYAHEAD_GFS,5.0,50.0,0,0.0,18.64389971646671,1.0000000004766416,4.982289729577005
FORECAST_DAYAHEAD_GFS,5.0,50.0,1,18.64389971646671,37.28779943293342,1.0000000114812804,4.982289524407623
FORECAST_DAYAHEAD_GFS,5.0,50.0,2,37.28779943293342,55.93169914940013,1.0000002765591007,4.982279640239021
FORECAST_DAYAHEAD_GFS,5.0,50.0,3,55.93169914940013,74.57559886586684,1.000006661466694,4.981922521508416
