role,resolution,method,reference_resolution,reference_method,contrast,metric,delta,CI95_low,CI95_high,nonfinite_draws,draws,block_observed_days,N_days
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.10890151515151514,-0.17471590909090906,-0.04356060606060608,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.10890151515151514,0.04356060606060608,0.17471590909090906,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.31880459699004415,-0.540715355810584,-0.07449218448120722,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-0.29132456535000906,-0.38738655771131003,-0.2088791369475983,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,0.052863802863802864,0.0020631739029434194,0.13513711160516703,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.08825149696850187,-0.15811252834576472,-0.019315254868247693,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,-0.028901320753853432,-0.17609731551279056,0.12610118225824332,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.10890151515151514,-0.16524621212121215,-0.055871212121212155,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.10890151515151514,0.055871212121212155,0.16524621212121215,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.31880459699004415,-0.5776934658316188,-0.05946782393902047,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-0.29132456535000906,-0.38766324341609665,-0.21126221109297552,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,0.052863802863802864,0.003128025252968258,0.12500859128398326,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.08825149696850187,-0.15078504147275323,-0.028181264641162412,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,-0.028901320753853432,-0.2055174758634153,0.13643220960459318,0,2000,7,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.09232954545454553,-0.15436789772727277,-0.03361742424242431,0,2000,1,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.09232954545454553,0.03361742424242431,0.15436789772727272,0,2000,1,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.39972098637507303,-0.6338525572055412,-0.1604055172791687,0,2000,1,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-4.440892098500626e-16,-6.661338147750939e-16,4.440892098500626e-16,0,2000,1,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,0.06385281385281386,-0.0028422229462207534,0.15266053956492825,0,2000,1,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.07033952153349676,-0.1354116868714423,-0.008104842866628601,0,2000,1,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,0.16762125504882852,0.01954098136181041,0.32827973929166143,0,2000,1,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.09232954545454553,-0.14109848484848475,-0.045928030303030276,0,2000,7,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.09232954545454553,0.045928030303030276,0.14109848484848475,0,2000,7,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.39972098637507303,-0.6924017102204385,-0.13322434649845236,0,2000,7,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-4.440892098500626e-16,-6.661338147750939e-16,2.220446049250313e-16,0,2000,7,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,0.06385281385281386,0.0031931409744408944,0.13816982499854283,0,2000,7,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.07033952153349676,-0.12344460925732871,-0.01978247204198576,0,2000,7,88
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,0.16762125504882852,0.025051212537651826,0.30734481205654673,0,2000,7,88
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,Q90_coverage,-0.008064516129032251,-0.02822580645161299,0.012096774193548376,0,2000,1,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,calibration_error,0.008064516129032251,-0.012096774193548376,0.02822580645161299,0,2000,1,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q90_pinball,-0.029327836516999328,-0.10435361717202135,0.04448460827368624,0,2000,1,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,requirement_ratio,-0.07269084014981719,-0.1726356629607424,-0.009276098173804006,0,2000,1,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,high_load_coverage,-0.06451612903225806,-0.18181818181818182,0.06451612903225806,0,2000,1,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,positive_coverage,-0.008333333333333304,-0.029661016949152574,0.012552301255230103,0,2000,1,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q50_pinball,-0.014976155483048537,-0.06406737149062014,0.03803289581887566,0,2000,1,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,Q90_coverage,-0.008064516129032251,-0.02822580645161299,0.020161290322580627,0,2000,7,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,calibration_error,0.008064516129032251,-0.020161290322580627,0.02822580645161299,0,2000,7,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q90_pinball,-0.029327836516999328,-0.08727412259075502,0.024033849455234183,0,2000,7,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,requirement_ratio,-0.07269084014981719,-0.15816734946101563,-0.00532634976620641,0,2000,7,31
MAY_HISTORICAL,H3,DIRECT,H3,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,high_load_coverage,-0.06451612903225806,-0.20689655172413793,0.06896551724137931,0,2000,7,31
