day,rho_AIDC,status,coefficient_count,minimum_conservatism_kw,maximum_site_error_kw,maximum_aggregate_error_kw,site_error_threshold_kw,aggregate_error_threshold_kw
2025-02-21,0.25,PASS,1152,-1.4210854715202004e-14,5.93795171965894e-06,5.9539421624066335e-06,14.25,5.288087919579648
2025-02-21,0.5,PASS,1152,-1.4210854715202004e-14,5.93795171965894e-06,5.9539421624066335e-06,14.25,5.288087919579648
2025-02-21,1.0,PASS,1152,-1.4210854715202004e-14,5.93795171965894e-06,5.9539421624066335e-06,14.25,5.288087919579648
2025-02-22,0.1,PASS,1152,-1.4210854715202004e-14,4.902063167833148e-06,4.905341747019065e-06,14.25,5.288087919579648
2025-02-22,0.25,PASS,1152,-1.4210854715202004e-14,4.902063167833148e-06,4.905341747019065e-06,14.25,5.288087919579648
2025-02-22,0.5,PASS,1152,-1.4210854715202004e-14,4.902063167833148e-06,4.905341747019065e-06,14.25,5.288087919579648
2025-02-22,1.0,PASS,1152,-1.4210854715202004e-14,4.902063167833148e-06,4.905341747019065e-06,14.25,5.288087919579648
2025-02-23,0.1,PASS,1152,-1.4210854715202004e-14,5.569591337462043e-06,5.5756856518485165e-06,14.25,5.288087919579648
2025-02-23,0.25,PASS,1152,-1.4210854715202004e-14,5.569591337462043e-06,5.5756856518485165e-06,14.25,5.288087919579648
2025-02-23,0.5,PASS,1152,-1.4210854715202004e-14,5.569591337462043e-06,5.5756856518485165e-06,14.25,5.288087919579648
2025-02-23,1.0,PASS,1152,-1.4210854715202004e-14,5.569591337462043e-06,5.5756856518485165e-06,14.25,5.288087919579648
2025-02-24,0.1,PASS,1152,-1.4210854715202004e-14,5.041584586251702e-06,5.04725485050983e-06,14.25,5.288087919579648
2025-02-24,0.25,PASS,1152,-1.4210854715202004e-14,5.041584586251702e-06,5.04725485050983e-06,14.25,5.288087919579648
2025-02-24,0.5,PASS,1152,-1.4210854715202004e-14,5.041584586251702e-06,5.04725485050983e-06,14.25,5.288087919579648
2025-02-24,1.0,PASS,1152,-1.4210854715202004e-14,5.041584586251702e-06,5.04725485050983e-06,14.25,5.288087919579648
2025-02-25,0.1,PASS,1152,-1.4210854715202004e-14,5.120316657780677e-06,5.123269355422622e-06,14.25,5.288087919579648
2025-02-25,0.25,PASS,1152,-1.4210854715202004e-14,5.120316657780677e-06,5.123269355422622e-06,14.25,5.288087919579648
2025-02-25,0.5,PASS,1152,-1.4210854715202004e-14,5.120316657780677e-06,5.123269355422622e-06,14.25,5.288087919579648
2025-02-25,1.0,PASS,1152,-1.4210854715202004e-14,5.120316657780677e-06,5.123269355422622e-06,14.25,5.288087919579648
2025-02-26,0.1,PASS,1152,-1.4210854715202004e-14,7.418799327751913e-06,7.43139626102618e-06,14.25,5.288087919579648
2025-02-26,0.25,PASS,1152,-1.4210854715202004e-14,7.418799327751913e-06,7.43139626102618e-06,14.25,5.288087919579648
2025-02-26,0.5,PASS,1152,-1.4210854715202004e-14,7.418799327751913e-06,7.43139626102618e-06,14.25,5.288087919579648
2025-02-26,1.0,PASS,1152,-1.4210854715202004e-14,7.418799327751913e-06,7.43139626102618e-06,14.25,5.288087919579648
2025-02-27,0.1,PASS,1152,-1.4210854715202004e-14,3.655253117074153e-06,3.6562807004258957e-06,14.25,5.288087919579648
2025-02-27,0.25,PASS,1152,-1.4210854715202004e-14,3.655253117074153e-06,3.6562807004258957e-06,14.25,5.288087919579648
2025-02-27,0.5,PASS,1152,-1.4210854715202004e-14,3.655253117074153e-06,3.6562807004258957e-06,14.25,5.288087919579648
2025-02-27,1.0,PASS,1152,-1.4210854715202004e-14,3.655253117074153e-06,3.6562807004258957e-06,14.25,5.288087919579648
2025-02-28,0.1,PASS,1152,-1.4210854715202004e-14,3.7988041867720312e-06,3.801172299588984e-06,14.25,5.288087919579648
2025-02-28,0.25,PASS,1152,-1.4210854715202004e-14,3.7988041867720312e-06,3.801172299588984e-06,14.25,5.288087919579648
2025-02-28,0.5,PASS,1152,-1.4210854715202004e-14,3.7988041867720312e-06,3.801172299588984e-06,14.25,5.288087919579648
2025-02-28,1.0,PASS,1152,-1.4210854715202004e-14,3.7988041867720312e-06,3.801172299588984e-06,14.25,5.288087919579648
2025-03-01,0.1,PASS,1152,-1.4210854715202004e-14,5.173656617785127e-06,5.176169961984556e-06,14.25,5.288087919579648
2025-03-01,0.25,PASS,1152,-1.4210854715202004e-14,5.173656617785127e-06,5.176169961984556e-06,14.25,5.288087919579648
2025-03-01,0.5,PASS,1152,-1.4210854715202004e-14,5.173656617785127e-06,5.176169961984556e-06,14.25,5.288087919579648
2025-03-01,1.0,PASS,1152,-1.4210854715202004e-14,5.173656617785127e-06,5.176169961984556e-06,14.25,5.288087919579648
