job_uid,GPU,D1_state,B0_site,B1_site,B0_downstream,B1_downstream,B0_REFERENCE,TEMPORAL_ONLY,SPATIAL_ONLY_PENDING,JOINT_WITHOUT_RUNNING_MIGRATION,JOINT_B1,temporal,spatial,interaction,migration,total,B0_REFERENCE_start,B0_REFERENCE_finish,TEMPORAL_ONLY_start,TEMPORAL_ONLY_finish,SPATIAL_ONLY_PENDING_start,SPATIAL_ONLY_PENDING_finish,JOINT_WITHOUT_RUNNING_MIGRATION_start,JOINT_WITHOUT_RUNNING_MIGRATION_finish,JOINT_B1_start,JOINT_B1_finish
8632509,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,43.318888888888885,0.0,43.318888888888885,0.0,43.318888888888885,0.0,43.318888888888885,0.0,43.318888888888885
8632510,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,18.788888888888888,0.0,18.788888888888888,0.0,18.788888888888888,0.0,18.788888888888888,0.0,18.788888888888888
8632511,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,4.8277777777777775,0.0,4.8277777777777775,0.0,4.8277777777777775,0.0,4.8277777777777775,0.0,4.8277777777777775
8632512,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,26.213333333333335,0.0,26.213333333333335,0.0,26.213333333333335,0.0,26.213333333333335,0.0,26.213333333333335
8632513,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556
8632514,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556
8632515,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556
8632516,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556,0.0,48.01555555555556
8632517,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,6.972222222222222,0.0,6.972222222222222,0.0,6.972222222222222,0.0,6.972222222222222,0.0,6.972222222222222
8632518,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,4.161111111111111,0.0,4.161111111111111,0.0,4.161111111111111,0.0,4.161111111111111,0.0,4.161111111111111
8632519,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,17.554444444444446,0.0,17.554444444444446,0.0,17.554444444444446,0.0,17.554444444444446,0.0,17.554444444444446
8632520,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,21.97111111111111,0.0,21.97111111111111,0.0,21.97111111111111,0.0,21.97111111111111,0.0,21.97111111111111
8632521,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,22.76222222222222,0.0,22.76222222222222,0.0,22.76222222222222,0.0,22.76222222222222,0.0,22.76222222222222
8632522,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,1.488888888888889,0.0,1.488888888888889,0.0,1.488888888888889,0.0,1.488888888888889,0.0,1.488888888888889
8632523,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,8.183333333333334,0.0,8.183333333333334,0.0,8.183333333333334,0.0,8.183333333333334,0.0,8.183333333333334
8632524,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,39.19888888888889,0.0,39.19888888888889,0.0,39.19888888888889,0.0,39.19888888888889,0.0,39.19888888888889
8632525,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,35.086666666666666,0.0,35.086666666666666,0.0,35.086666666666666,0.0,35.086666666666666,0.0,35.086666666666666
8632526,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,24.263333333333332,0.0,24.263333333333332,0.0,24.263333333333332,0.0,24.263333333333332,0.0,24.263333333333332
8632527,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111
