operating_day,slot15,actual_GPUh,safe_GPUh,shortfall_GPUh,burst_probability,burst_flag,false_negative,actual_N_label_only
2024-12-17,19,319.5027777777777,62.9516159424734,256.5511618353043,0.00814324,False,True,137
2025-02-19,55,300.39444444444445,44.41729357050574,255.9771508739387,0.0107217925,False,True,4
2025-01-02,49,257.7347222222222,2.685556668557145,255.04916555366506,0.011288121,False,True,9
2024-12-27,48,293.5033333333332,43.08605320733284,250.41728012600038,0.009082166,False,True,22
2024-12-18,15,305.5513888888889,57.516337908425456,248.03505098046344,0.007270118,False,True,7
2025-02-13,85,281.1011111111111,39.127472200515214,241.97363891059587,0.007496632,False,True,63
2024-12-19,68,263.25250000000005,28.577888691237813,234.67461130876225,0.0087736575,False,True,7
2025-02-25,24,1839.3966666666668,1609.3172222222217,230.07944444444502,0.0366607,True,False,6
2025-02-11,95,264.0469444444444,38.50539466738158,225.54154977706284,0.0026198518,False,True,8
2024-12-26,38,1831.0466666666675,1609.3172222222217,221.7294444444458,0.019436423,True,False,162
2025-02-05,33,1830.4541666666673,1609.3172222222217,221.1369444444456,0.18266577,True,False,129
2024-12-17,70,255.89611111111114,37.123556726894044,218.7725543842171,0.0082328115,False,True,15
2024-12-28,6,270.8691666666668,54.609709618408786,216.259457048258,0.010484861,False,True,36
2024-12-29,42,244.70666666666668,36.91841927639493,207.78824739027175,0.008133848,False,True,8
2025-02-21,37,285.3311111111111,78.10683143050247,207.22427968060865,0.014005938,False,True,17
2024-12-17,53,245.79666666666668,44.51204956589381,201.28461710077286,0.010699444,False,True,3
2025-02-23,24,245.8494444444445,48.14751338470892,197.70193105973556,0.011753631,False,True,7
2025-02-17,16,245.21472222222218,60.94360681130824,184.27111541091392,0.014283424,False,True,13
2024-12-18,64,244.29666666666665,61.73817096075025,182.5584957059164,0.01060562,False,True,4
2025-01-10,64,1788.8627777777779,1609.3172222222217,179.54555555555612,0.050282646,True,False,138
2025-01-17,54,1784.6111111111127,1609.3172222222217,175.29388888889093,0.040176503,True,False,107
2025-01-22,35,1714.989999999999,1609.3172222222217,105.67277777777736,0.14292517,True,False,59
2025-02-07,7,1664.0977777777775,1609.3172222222217,54.78055555555579,0.08347418,True,False,6
2025-01-26,19,1623.8572222222222,1609.3172222222217,14.540000000000418,0.042457853,True,False,97
2024-12-01,17,1622.6538888888888,1609.3172222222217,13.336666666667043,0.027375422,True,False,37
