u_hours,body,classifier,policy,role,body_gate,tail_gate,nontrivial_flagging_gate,hybrid_gate,temporal_gate,PASS_gate,reference_only_gate,tail_N,tail_recall,GPU_tail_recall,ECE,mass_capture,flagged_fraction,GPU_mass_ratio,overreservation_ratio
8,B0,C0,R1,DEVELOPMENT,False,False,False,False,False,False,True,1490,1.0,1.0,0.19410449867936128,1.0,1.0,7.072675619741094e-05,5.184922368093814
8,B0,C1,R0,DEVELOPMENT,False,False,True,False,True,False,True,1490,0.9013422818791946,0.8401727861771058,0.3035581532405162,0.43823149293637853,0.5354348826507133,1.0,1.0
8,B0,C1,R1,DEVELOPMENT,False,False,True,False,False,False,True,1490,0.9013422818791946,0.8401727861771058,0.3035581532405162,0.43823149293637853,0.5354348826507133,0.5682957241629533,3.1206312415676045
8,B0,C2,R0,DEVELOPMENT,False,False,False,False,True,False,True,1490,0.987248322147651,0.9881209503239741,0.2884968334830714,0.9956400979919725,0.8359410952600093,1.0,1.0
8,B0,C2,R1,DEVELOPMENT,False,False,False,False,False,False,True,1490,0.987248322147651,0.9881209503239741,0.2884968334830714,0.9956400979919725,0.8359410952600093,0.004373488863633882,4.07427953521754
8,B0,C3,R0,DEVELOPMENT,False,False,True,False,True,False,True,1490,0.9711409395973154,0.9611231101511879,0.32393371994151565,0.9676067630669962,0.4993097100782329,1.0,1.0
8,B0,C3,R1,DEVELOPMENT,False,False,True,False,False,False,True,1490,0.9711409395973154,0.9611231101511879,0.32393371994151565,0.9676067630669962,0.4993097100782329,0.03269873280666487,2.1821893976446227
8,B1,C0,R0,DEVELOPMENT,False,False,False,False,True,False,,1490,1.0,1.0,0.19410449867936128,1.0,1.0,1.0,1.0
8,B1,C0,R1,DEVELOPMENT,False,False,False,False,False,False,,1490,1.0,1.0,0.19410449867936128,1.0,1.0,7.072675619741094e-05,5.184922368093814
8,B1,C1,R0,DEVELOPMENT,False,False,True,False,False,False,,1490,0.9013422818791946,0.8401727861771058,0.3035581532405162,0.6750943392106201,0.5354348826507133,1.1273892566731727,0.6217032914370401
8,B1,C1,R1,DEVELOPMENT,False,False,True,False,False,False,,1490,0.9013422818791946,0.8401727861771058,0.3035581532405162,0.6750943392106201,0.5354348826507133,0.695684980836126,2.742334533004645
8,B1,C2,R0,DEVELOPMENT,False,False,False,False,False,False,,1490,0.987248322147651,0.9881209503239741,0.2884968334830714,0.9914663913188483,0.8359410952600093,1.0137432034558829,0.8333715937578539
8,B1,C2,R1,DEVELOPMENT,False,False,False,False,False,False,,1490,0.987248322147651,0.9881209503239741,0.2884968334830714,0.9914663913188483,0.8359410952600093,0.018116692319516847,3.9076511289753944
8,B1,C3,R0,DEVELOPMENT,False,False,True,False,False,False,,1490,0.9711409395973154,0.9611231101511879,0.32393371994151565,0.954234362663306,0.4993097100782329,1.0624308828254487,0.4629204206830372
8,B1,C3,R1,DEVELOPMENT,False,False,True,True,False,False,,1490,0.9711409395973154,0.9611231101511879,0.32393371994151565,0.954234362663306,0.4993097100782329,0.09512961563211364,1.64510981832766
8,B2,C0,R0,DEVELOPMENT,False,False,False,False,True,False,,1490,1.0,1.0,0.19410449867936128,1.0,1.0,1.0,1.0
8,B2,C0,R1,DEVELOPMENT,False,False,False,False,False,False,,1490,1.0,1.0,0.19410449867936128,1.0,1.0,7.072675619741094e-05,5.184922368093814
8,B2,C1,R0,DEVELOPMENT,False,False,True,False,False,False,,1490,0.9013422818791946,0.8401727861771058,0.3035581532405162,0.6759436035845839,0.5354348826507133,1.126592632303607,0.6186211651397987
8,B2,C1,R1,DEVELOPMENT,False,False,True,False,False,False,,1490,0.9013422818791946,0.8401727861771058,0.3035581532405162,0.6759436035845839,0.5354348826507133,0.6948883564665603,2.7392524067074038
8,B2,C2,R0,DEVELOPMENT,False,False,False,False,False,False,,1490,0.987248322147651,0.9881209503239741,0.2884968334830714,0.991428297624819,0.8359410952600093,1.0137432034558829,0.8333715937578539
8,B2,C2,R1,DEVELOPMENT,False,False,False,False,False,False,,1490,0.987248322147651,0.9881209503239741,0.2884968334830714,0.991428297624819,0.8359410952600093,0.018116692319516847,3.9076511289753944
8,B2,C3,R0,DEVELOPMENT,False,False,True,False,False,False,,1490,0.9711409395973154,0.9611231101511879,0.32393371994151565,0.9543185565207404,0.4993097100782329,1.0624308828254487,0.45953226766124705
8,B2,C3,R1,DEVELOPMENT,False,False,True,True,False,False,,1490,0.9711409395973154,0.9611231101511879,0.32393371994151565,0.9543185565207404,0.4993097100782329,0.09512961563211364,1.6417216653058697
8,B3,C0,R0,DEVELOPMENT,False,False,False,False,True,False,,1490,1.0,1.0,0.19410449867936128,1.0,1.0,1.0,1.0
8,B3,C0,R1,DEVELOPMENT,False,False,False,False,False,False,,1490,1.0,1.0,0.19410449867936128,1.0,1.0,7.072675619741094e-05,5.184922368093814
8,B3,C1,R0,DEVELOPMENT,False,False,True,False,False,False,,1490,0.9013422818791946,0.8401727861771058,0.3035581532405162,0.6758352095997032,0.5354348826507133,1.0924228841266863,0.6846490904791631
